Sweden,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Switzerland,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Syria,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Taiwan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Tajikistan,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Tanzania,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Thailand,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Timor-Leste,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Togo,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
Tonga,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Trinidad and Tobago,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Tunisia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Turkey,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Turkmenistan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Tuvalu,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Uganda,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Ukraine,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
United Arab Emirates,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
United Kingdom,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
United States,withdrew acceptance of compulsory ICJ jurisdiction in 2005; withdrew acceptance of ICCt jurisdiction in 2002
Uruguay,accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction
Uzbekistan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Vanuatu,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Venezuela,has not submitted an ICJ jurisdiction declaration; state party to the ICCT
Vietnam,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
World,"all members of the UN are parties to the statute that established the International Court of Justice (ICJ) or World Court; 54 countries have accepted jurisdiction of the ICJ as compulsory with reservations and 14 countries have accepted ICJ jurisdiction as compulsory without reservations; states parties to the Rome Statute of the International Criminal Court (ICCt) are those countries that have ratified or acceded to the Rome Statute, the treaty that established the Court; a total of 121 (effective 1 July 2012) countries have accepted jurisdiction of the ICCt (see Appendix B for a clarification on the differing mandates of the ICJ and ICCt)"
Yemen,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Zambia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Zimbabwe,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
